delta_t (s),Velocity X (m/s),Velocity Y (m/s)
7.05718994140625e-05,0.02,0.02
2.0742416381835938e-05,0.78,-0.63
2.6464462280273438e-05,2.98,-1.9
2.6226043701171875e-05,4.85,-1.87
2.6226043701171875e-05,5.77,0.42
2.765655517578125e-05,6.0,2.76
3.24249267578125e-05,5.26,5.1
2.6702880859375e-05,3.71,7.11
2.7179718017578125e-05,1.59,8.38
4.6253204345703125e-05,-0.75,8.82
2.6226043701171875e-05,-2.98,8.55
2.8371810913085938e-05,-4.94,7.74
2.7179718017578125e-05,-6.45,6.79
2.5510787963867188e-05,-7.46,5.95
2.7418136596679688e-05,-8.26,4.94
2.7418136596679688e-05,-8.82,3.97
2.6464462280273438e-05,-9.23,2.99
2.5510787963867188e-05,-9.51,2.03
2.6702880859375e-05,-9.69,1.07
2.7418136596679688e-05,-9.73,0.87
3.528594970703125e-05,-8.24,0.53
2.956390380859375e-05,-6.18,0.16
3.7670135498046875e-05,-3.62,-0.11
2.7418136596679688e-05,-0.8,-0.16
3.7670135498046875e-05,0.15,-0.1
2.6226043701171875e-05,0.28,-0.05
2.6226043701171875e-05,0.21,-0.05
2.6226043701171875e-05,0.12,-0.06
2.6464462280273438e-05,0.07,-0.06
4.673004150390625e-05,0.05,-0.05
3.838539123535156e-05,0.05,-0.04
3.1948089599609375e-05,0.05,-0.03
2.7179718017578125e-05,0.04,-0.02
2.6464462280273438e-05,0.03,-0.02
2.765655517578125e-05,0.03,-0.02
3.981590270996094e-05,0.03,-0.01
3.719329833984375e-05,0.02,-0.02
2.6464462280273438e-05,0.02,-0.02
5.221366882324219e-05,0.01,-0.02
2.7418136596679688e-05,0.01,-0.02
2.5987625122070312e-05,0.01,-0.02
2.765655517578125e-05,0.01,-0.01
2.7179718017578125e-05,0.01,-0.01
